material_name,type,tensile_strength,flexibility,max_temp,density,cost_per_kg,recyclability,carbon_footprint,biodegradability,toxicity,energy_efficiency,volume_cm3,surface_area_cm2
PLA Standard,PLA,60,0.4,60,1.24,22,0.95,2.1,0.8,0.1,0.8,5,20
PLA+,PLA,65,0.35,65,1.25,25,0.96,2.0,0.85,0.1,0.82,6,22
PLA Recycled,PLA,58,0.42,60,1.22,20,0.98,1.8,0.9,0.1,0.85,4,18
ABS Standard,ABS,40,0.6,100,1.04,18,0.6,3.8,0.05,0.5,0.6,10,30
ABS Pro,ABS,45,0.55,105,1.05,22,0.55,4.0,0.05,0.55,0.58,12,32
PETG Clear,PETG,50,0.5,80,1.27,24,0.85,3.1,0.2,0.2,0.75,8,25
PETG Recycled,PETG,48,0.52,80,1.26,23,0.9,2.8,0.25,0.2,0.78,7,24
TPU Flexible,TPU,30,0.85,60,1.21,28,0.7,3.5,0.1,0.3,0.7,6,22
Nylon 6,Nylon,70,0.5,120,1.15,40,0.65,4.2,0.05,0.4,0.6,15,40
ASA Outdoor,ASA,45,0.55,100,1.07,26,0.6,3.6,0.05,0.45,0.62,12,35
PLA Wood,PLA,55,0.38,55,1.20,27,0.9,2.4,0.75,0.15,0.78,4,18
PC Polycarbonate,PC,75,0.4,130,1.20,55,0.5,6.0,0.02,0.6,0.55,14,38
PA-CF Nylon CF,Nylon,80,0.35,120,1.20,60,0.5,5.5,0.02,0.5,0.58,16,42
PETG Carbon,PETG,55,0.45,85,1.28,35,0.8,3.3,0.18,0.25,0.73,9,28
HIPS,HIPS,42,0.5,100,1.03,20,0.6,3.7,0.05,0.4,0.62,10,29
PVA Support,PVA,20,0.7,60,1.19,35,0.95,2.2,0.85,0.1,0.8,3,15
PP Polypropylene,PP,38,0.7,100,0.91,22,0.7,3.2,0.1,0.3,0.7,7,24
PET,PET,48,0.48,90,1.34,23,0.85,3.0,0.2,0.2,0.74,8,26
PLA Tough,PLA,62,0.38,65,1.25,26,0.95,2.2,0.8,0.1,0.8,5,20
Eco-ABS (low VOC),ABS,42,0.58,100,1.04,24,0.65,3.2,0.08,0.35,0.65,10,30
TPE Flexible,TPE,25,0.9,50,1.18,32,0.75,3.4,0.15,0.25,0.68,6,21
PC-ABS,PC-ABS,65,0.45,110,1.10,45,0.55,4.5,0.03,0.55,0.6,13,36
PEEK,PEEK,90,0.3,250,1.32,150,0.4,8.0,0.01,0.7,0.5,20,50
PLA Carbon Fiber,PLA-CF,70,0.3,70,1.30,40,0.92,2.3,0.75,0.15,0.8,6,22
ABS Recycled,ABS,38,0.62,95,1.03,16,0.75,2.5,0.1,0.45,0.65,9,29
